Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,get«Î«Û,3,3,250.0,250.0000000024253,219.0000000045984,281.00000000267755,2443.0,3.3689973501390797,3.3689973501390797,250,250,280,280,280,280,280,280,280,280,280
GET,get«Î«Û2,1,1,281.00000000267755,281.00000000267755,281.00000000267755,281.00000000267755,2443.0,1.1229991167130264,1.1229991167130264,280,280,280,280,280,280,280,280,280,280,280
,Aggregated,4,4,250.0,257.7500000024884,219.0000000045984,281.00000000267755,2443.0,4.491996466852106,4.491996466852106,280,280,280,280,280,280,280,280,280,280,280
