Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,get«Î«Û,1,1,266.00000000325963,266.00000000325963,266.00000000325963,266.00000000325963,2443.0,1.194225877972856,1.194225877972856,270,270,270,270,270,270,270,270,270,270,270
GET,get«Î«Û2,3,3,230.0,228.9999999969344,218.99999999732245,233.99999999674037,2443.0,3.5826776339185678,3.5826776339185678,230,230,230,230,230,230,230,230,230,230,230
,Aggregated,4,4,230.0,238.2499999985157,218.99999999732245,266.00000000325963,2443.0,4.776903511891424,4.776903511891424,230,230,270,270,270,270,270,270,270,270,270
