Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,get«Î«Û,1,1,219.0000000045984,219.0000000045984,219.0000000045984,219.0000000045984,2443.0,1.1064458859498945,1.1064458859498945,220,220,220,220,220,220,220,220,220,220,220
GET,get«Î«Û2,3,3,310.0,306.99999999827315,296.9999999986612,311.99999999807915,2443.0,3.319337657849683,3.319337657849683,310,310,310,310,310,310,310,310,310,310,310
,Aggregated,4,4,300.0,284.9999999998545,219.0000000045984,311.99999999807915,2443.0,4.425783543799578,4.425783543799578,310,310,310,310,310,310,310,310,310,310,310
