Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,get«Î«Û,3,3,281.00000000267755,286.6666666668607,281.00000000267755,296.9999999986612,2443.0,3.5600119280896894,3.5600119280896894,280,280,300,300,300,300,300,300,300,300,300
GET,get«Î«Û2,1,1,233.99999999674037,233.99999999674037,233.99999999674037,233.99999999674037,2443.0,1.1866706426965632,1.1866706426965632,230,230,230,230,230,230,230,230,230,230,230
,Aggregated,4,4,280.0,273.4999999993306,233.99999999674037,296.9999999986612,2443.0,4.746682570786253,4.746682570786253,280,280,300,300,300,300,300,300,300,300,300
